Edu,Year,Mean,Median
UPPSRY_NTRY,1981,78.749555625,71.369842
UPPSRY_NTRY,1990,72.28408016666667,76.466599
UPPSRY_NTRY,1991,74.2889173888889,74.607841
UPPSRY_NTRY,1992,73.74595823529413,77.088379
UPPSRY_NTRY,1994,73.83267169999999,82.251007
UPPSRY_NTRY,1995,73.72014930434781,73.720149
UPPSRY_NTRY,1997,73.03850519047619,73.905594
UPPSRY_NTRY,1998,73.52044557692308,78.203987
UPPSRY_NTRY,1999,73.36451624,73.364516
UPPSRY_NTRY,2000,73.82377621875,73.823776
UPPSRY_NTRY,2001,74.05376317857143,75.7313
UPPSRY_NTRY,2002,73.68899486666668,76.23436
UPPSRY_NTRY,2003,74.12508428124998,74.125084
UPPSRY_NTRY,2004,73.93730014705883,74.229786
UPPSRY_NTRY,2005,74.43893139473685,74.662506
UPPSRY_NTRY,2006,75.36384535135134,75.969109
UPPSRY_NTRY,2007,75.81953647368421,76.046653
UPPSRY_NTRY,2008,75.82371984615386,75.99793
UPPSRY_NTRY,2009,73.70815585,75.092216
UPPSRY_NTRY,2010,72.66142165000001,73.055891
UPPSRY_NTRY,2011,72.73329619047618,75.280701
UPPSRY_NTRY,2012,72.14959769767444,75.922844
UPPSRY_NTRY,2013,72.77827023809523,76.598831
UPPSRY_NTRY,2014,73.30746378571428,77.571945
UPPSRY_NTRY,2015,73.7303812142857,78.945419
UPPSRY_NTRY,2016,74.15183473170734,74.589964
UPPSRY_NTRY,2017,74.75425109302327,82.215881
UPPSRY_NTRY,2018,75.15180404545457,83.510033
UPPSRY_NTRY,2019,75.52906876744187,84.514481
UPPSRY_NTRY,2020,73.52032027906975,81.548035
UPPSRY_NTRY,2021,74.97086377500001,83.438309
UPPSRY_NTRY,1987,68.21611866666667,73.265437
UPPSRY_NTRY,1988,72.56500875,74.343229
UPPSRY_NTRY,1989,74.59926415384615,78.299377
UPPSRY_NTRY,1993,69.8705682,72.074715
UPPSRY_NTRY,1996,68.9729088,73.03125
UPPSRY_NTRY,1982,69.661493,69.661493
UPPSRY_NTRY,1983,68.645998,68.645998
UPPSRY_NTRY,1984,71.014016,71.014016
UPPSRY_NTRY,1985,72.354134,72.354134
UPPSRY_NTRY,1986,72.188388,72.188388
TRY,1997,83.23145852173913,85.04789
TRY,1998,83.41168062962967,85.486671
TRY,1999,83.0685623076923,81.826332
TRY,2000,83.64674412121212,80.655174
TRY,2001,83.83647127586207,83.749779
TRY,2002,83.44666493548387,83.337845
TRY,2003,83.5782726060606,82.426674
TRY,2004,83.39219282857142,83.318512
TRY,2005,84.22604205128206,84.412949
TRY,2006,84.72997778947368,84.353523
TRY,2007,84.67386753846154,84.823486
TRY,2008,84.69432734999998,82.788483
TRY,2009,83.7180228780488,82.376495
TRY,2010,82.9644611707317,82.377548
TRY,2011,83.13977430232558,84.19278
TRY,2012,82.30953897727271,80.041634
TRY,2013,83.34997632558141,84.14119
TRY,2014,83.45834790697675,84.744164
TRY,2015,83.6823605116279,84.585976
TRY,2016,84.0744235,85.194183
TRY,2017,84.54931868181818,84.867844
TRY,2018,84.33436182222223,85.067238
TRY,2019,84.7074100909091,85.559753
TRY,2020,83.46696995454546,87.59803
TRY,2021,85.21293287804879,86.751892
TRY,1991,84.50790294444444,85.070267
TRY,1992,84.40346752941178,84.933197
TRY,1994,83.95554580000001,82.405853
TRY,1995,83.52808195652175,90.198669
TRY,1990,81.6901675,82.604195
TRY,1989,84.7272033846154,86.369583
TRY,1981,85.66696,89.198631
TRY,1982,83.986917,83.986917
TRY,1983,83.326011,83.326011
TRY,1984,84.723388,84.723388
TRY,1985,84.864479,84.864479
TRY,1986,84.842372,84.842372
TRY,1987,82.12597333333333,83.423286
TRY,1988,84.6546385,90.77253
TRY,1993,81.6259552,79.955971
TRY,1996,81.0595964,80.517113
BUPPSRY,1989,57.20222453846153,44.772343
BUPPSRY,1991,57.04222488888888,48.616089
BUPPSRY,1992,56.55146294117647,48.796589
BUPPSRY,1994,56.61409094999999,49.00457
BUPPSRY,1995,57.66068004347826,60.216778
BUPPSRY,1997,55.115188476190475,63.135017
BUPPSRY,1998,55.46896515384614,43.742031
BUPPSRY,1999,55.15423532,41.322517
BUPPSRY,2000,54.4907190625,60.819241
BUPPSRY,2001,55.63837625000001,65.96241
BUPPSRY,2002,55.01565433333332,67.086914
BUPPSRY,2003,56.1936186875,61.008137
BUPPSRY,2004,56.97232188235293,60.640072
BUPPSRY,2005,56.91244092105262,37.715935
BUPPSRY,2006,58.09050127027028,53.769577
BUPPSRY,2007,58.638263157894734,41.024372
BUPPSRY,2008,58.53629274358975,42.95998
BUPPSRY,2009,56.497855075000004,76.828506
BUPPSRY,2010,54.86902037499999,73.048576
BUPPSRY,2011,55.32205304761904,63.173729
BUPPSRY,2012,54.869517348837206,64.190819
BUPPSRY,2013,55.19570197619049,64.121071
BUPPSRY,2014,56.315958142857156,63.824726
BUPPSRY,2015,56.51493480952383,64.448311
BUPPSRY,2016,56.804336536585375,76.700485
BUPPSRY,2017,58.10009409302326,64.624901
BUPPSRY,2018,58.77453193181819,46.481766
BUPPSRY,2019,59.062710534883735,65.604675
BUPPSRY,2020,57.451527372093025,46.902103
BUPPSRY,2021,58.32795169999999,71.241058
BUPPSRY,1981,63.18189125,62.492264
BUPPSRY,1988,58.803411999999994,58.552036
BUPPSRY,1982,53.548024,53.548024
BUPPSRY,1983,51.191744,51.191744
BUPPSRY,1984,53.533721,53.533721
BUPPSRY,1985,53.404847,53.404847
BUPPSRY,1986,53.834344,53.834344
BUPPSRY,1987,56.84258333333333,58.418629
BUPPSRY,1990,56.28543316666667,61.354755
BUPPSRY,1993,54.872714800000004,57.816246
BUPPSRY,1996,51.6430074,38.830215
